Attendance_ID,Student_ID,Course_ID,Classes_Conducted,Classes_Attended,Attendance_Percentage
ATT001,STU0001,CRS001,45,34,75.56
ATT002,STU0001,CRS002,45,34,75.56
ATT003,STU0001,CRS003,45,34,75.56
ATT004,STU0001,CRS004,45,34,75.56
ATT005,STU0001,CRS005,45,34,75.56
ATT006,STU0001,CRS006,45,34,75.56
ATT007,STU0001,CRS007,45,34,75.56
ATT008,STU0001,CRS008,45,34,75.56
ATT009,STU0001,CRS009,45,34,75.56
ATT010,STU0001,CRS010,45,34,75.56
ATT011,STU0002,CRS001,45,36,80.0
ATT012,STU0002,CRS002,45,36,80.0
ATT013,STU0002,CRS003,45,36,80.0
ATT014,STU0002,CRS004,45,36,80.0
ATT015,STU0002,CRS005,45,36,80.0
ATT016,STU0002,CRS006,45,36,80.0
ATT017,STU0002,CRS007,45,36,80.0
ATT018,STU0002,CRS008,45,36,80.0
ATT019,STU0002,CRS009,45,36,80.0
ATT020,STU0002,CRS010,45,36,80.0
ATT021,STU0003,CRS001,45,41,91.11
ATT022,STU0003,CRS002,45,41,91.11
ATT023,STU0003,CRS003,45,41,91.11
ATT024,STU0003,CRS004,45,41,91.11
ATT025,STU0003,CRS005,45,41,91.11
ATT026,STU0003,CRS006,45,41,91.11
ATT027,STU0003,CRS007,45,41,91.11
ATT028,STU0003,CRS008,45,41,91.11
ATT029,STU0003,CRS009,45,41,91.11
ATT030,STU0003,CRS010,45,41,91.11
ATT031,STU0004,CRS001,45,37,82.22
ATT032,STU0004,CRS002,45,37,82.22
ATT033,STU0004,CRS003,45,37,82.22
ATT034,STU0004,CRS004,45,37,82.22
ATT035,STU0004,CRS005,45,37,82.22
ATT036,STU0004,CRS006,45,37,82.22
ATT037,STU0004,CRS007,45,37,82.22
ATT038,STU0004,CRS008,45,37,82.22
ATT039,STU0004,CRS009,45,37,82.22
ATT040,STU0004,CRS010,45,37,82.22
ATT041,STU0005,CRS001,45,39,86.67
ATT042,STU0005,CRS002,45,39,86.67
ATT043,STU0005,CRS003,45,39,86.67
ATT044,STU0005,CRS004,45,39,86.67
ATT045,STU0005,CRS005,45,39,86.67
ATT046,STU0005,CRS006,45,39,86.67
ATT047,STU0005,CRS007,45,39,86.67
ATT048,STU0005,CRS008,45,39,86.67
ATT049,STU0005,CRS009,45,39,86.67
ATT050,STU0005,CRS010,45,39,86.67
ATT051,STU0006,CRS001,45,39,86.67
ATT052,STU0006,CRS002,45,39,86.67
ATT053,STU0006,CRS003,45,39,86.67
ATT054,STU0006,CRS004,45,39,86.67
ATT055,STU0006,CRS005,45,39,86.67
ATT056,STU0006,CRS006,45,39,86.67
ATT057,STU0006,CRS007,45,39,86.67
ATT058,STU0006,CRS008,45,39,86.67
ATT059,STU0006,CRS009,45,39,86.67
ATT060,STU0006,CRS010,45,39,86.67
ATT061,STU0007,CRS001,45,37,82.22
ATT062,STU0007,CRS002,45,37,82.22
ATT063,STU0007,CRS003,45,37,82.22
ATT064,STU0007,CRS004,45,37,82.22
ATT065,STU0007,CRS005,45,37,82.22
ATT066,STU0007,CRS006,45,37,82.22
ATT067,STU0007,CRS007,45,37,82.22
ATT068,STU0007,CRS008,45,37,82.22
ATT069,STU0007,CRS009,45,37,82.22
ATT070,STU0007,CRS010,45,37,82.22
ATT071,STU0008,CRS001,45,41,91.11
ATT072,STU0008,CRS002,45,41,91.11
ATT073,STU0008,CRS003,45,41,91.11
ATT074,STU0008,CRS004,45,41,91.11
ATT075,STU0008,CRS005,45,41,91.11
ATT076,STU0008,CRS006,45,41,91.11
ATT077,STU0008,CRS007,45,41,91.11
ATT078,STU0008,CRS008,45,41,91.11
ATT079,STU0008,CRS009,45,41,91.11
ATT080,STU0008,CRS010,45,41,91.11
ATT081,STU0009,CRS001,45,34,75.56
