Fee_ID,Student_ID,Semester,Tuition_Fee,Library_Fee,Exam_Fee,Total_Fee,Amount_Paid,Balance,Status
FEE001,STU0001,1,90000,3000,2500,95500,95500,0,Paid
FEE002,STU0001,2,90000,3000,2500,95500,95500,0,Paid
FEE003,STU0001,3,90000,3000,2500,95500,95500,0,Paid
FEE004,STU0001,4,90000,3000,2500,95500,95500,0,Paid
FEE005,STU0001,5,90000,3000,2500,95500,95500,0,Paid
FEE006,STU0001,6,90000,3000,2500,95500,95500,0,Paid
FEE007,STU0001,7,90000,3000,2500,95500,95500,0,Paid
FEE008,STU0001,8,90000,3000,2500,95500,95500,0,Paid
FEE009,STU0002,1,90000,3000,2500,95500,0,95500,Pending
FEE010,STU0002,2,90000,3000,2500,95500,95500,0,Paid
FEE011,STU0002,3,90000,3000,2500,95500,0,95500,Pending
FEE012,STU0002,4,90000,3000,2500,95500,95500,0,Paid
FEE013,STU0002,5,90000,3000,2500,95500,0,95500,Pending
FEE014,STU0002,6,90000,3000,2500,95500,76172,19328,Partially Paid
FEE015,STU0002,7,90000,3000,2500,95500,95500,0,Paid
FEE016,STU0002,8,90000,3000,2500,95500,58186,37314,Partially Paid
FEE017,STU0003,1,90000,3000,2500,95500,95500,0,Paid
FEE018,STU0003,2,90000,3000,2500,95500,95500,0,Paid
FEE019,STU0003,3,90000,3000,2500,95500,69825,25675,Partially Paid
FEE020,STU0003,4,90000,3000,2500,95500,95500,0,Paid
FEE021,STU0003,5,90000,3000,2500,95500,66135,29365,Partially Paid
FEE022,STU0003,6,90000,3000,2500,95500,95500,0,Paid
FEE023,STU0003,7,90000,3000,2500,95500,95500,0,Paid
FEE024,STU0003,8,90000,3000,2500,95500,95500,0,Paid
FEE025,STU0004,1,90000,3000,2500,95500,95500,0,Paid
FEE026,STU0004,2,90000,3000,2500,95500,95500,0,Paid
FEE027,STU0004,3,90000,3000,2500,95500,95500,0,Paid
FEE028,STU0004,4,90000,3000,2500,95500,95500,0,Paid
FEE029,STU0004,5,90000,3000,2500,95500,95500,0,Paid
FEE030,STU0004,6,90000,3000,2500,95500,0,95500,Pending
FEE031,STU0004,7,90000,3000,2500,95500,56735,38765,Partially Paid
FEE032,STU0004,8,90000,3000,2500,95500,95500,0,Paid
FEE033,STU0005,1,90000,3000,2500,95500,95500,0,Paid
FEE034,STU0005,2,90000,3000,2500,95500,95500,0,Paid
