Mark_ID,Student_ID,Course_ID,Assignment,Quiz,Mid_Sem,End_Sem,Total,Grade,Grade_Point
MRK001,STU0001,CRS001,8,10,25,39,82,A,9
MRK002,STU0001,CRS002,7,6,30,30,73,B+,8
MRK003,STU0001,CRS003,7,8,18,48,81,A,9
MRK004,STU0001,CRS004,8,7,20,44,79,B+,8
MRK005,STU0001,CRS005,7,8,16,33,64,B,7
MRK006,STU0001,CRS006,8,6,25,47,86,A,9
MRK007,STU0001,CRS007,5,5,14,19,43,D,5
MRK008,STU0001,CRS008,8,6,29,44,87,A,9
MRK009,STU0001,CRS009,5,4,15,22,46,D,5
MRK010,STU0001,CRS010,6,10,11,49,76,B+,8
MRK011,STU0002,CRS001,10,8,18,20,56,C,6
MRK012,STU0002,CRS002,9,10,12,45,76,B+,8
MRK013,STU0002,CRS003,5,10,25,26,66,B,7
MRK014,STU0002,CRS004,6,5,29,44,84,A,9
MRK015,STU0002,CRS005,6,6,28,48,88,A,9
MRK016,STU0002,CRS006,7,7,25,28,67,B,7
MRK017,STU0002,CRS007,7,7,14,47,75,B+,8
MRK018,STU0002,CRS008,10,10,16,28,64,B,7
MRK019,STU0002,CRS009,6,8,13,25,52,C,6
MRK020,STU0002,CRS010,9,6,24,24,63,B,7
MRK021,STU0003,CRS001,8,6,27,44,85,A,9
MRK022,STU0003,CRS002,9,8,10,42,69,B,7
MRK023,STU0003,CRS003,8,6,12,31,57,C,6
MRK024,STU0003,CRS004,9,10,23,38,80,A,9
MRK025,STU0003,CRS005,6,4,21,33,64,B,7
MRK026,STU0003,CRS006,6,7,27,43,83,A,9
MRK027,STU0003,CRS007,7,5,21,34,67,B,7
MRK028,STU0003,CRS008,7,5,12,42,66,B,7
MRK029,STU0003,CRS009,6,9,30,27,72,B+,8
MRK030,STU0003,CRS010,7,5,22,20,54,C,6
MRK031,STU0004,CRS001,7,7,15,44,73,B+,8
MRK032,STU0004,CRS002,7,4,24,23,58,C,6
MRK033,STU0004,CRS003,9,9,29,37,84,A,9
MRK034,STU0004,CRS004,10,8,11,30,59,C,6
MRK035,STU0004,CRS005,5,5,27,28,65,B,7
MRK036,STU0004,CRS006,7,4,29,32,72,B+,8
MRK037,STU0004,CRS007,5,8,18,21,52,C,6
MRK038,STU0004,CRS008,10,4,10,22,46,D,5
MRK039,STU0004,CRS009,8,7,19,44,78,B+,8
MRK040,STU0004,CRS010,10,6,18,31,65,B,7
MRK041,STU0005,CRS001,9,8,18,36,71,B+,8
MRK042,STU0005,CRS002,10,8,18,18,54,C,6
MRK043,STU0005,CRS003,7,10,18,18,53,C,6
MRK044,STU0005,CRS004,7,4,22,32,65,B,7
MRK045,STU0005,CRS005,9,4,19,25,57,C,6
MRK046,STU0005,CRS006,9,7,28,28,72,B+,8
MRK047,STU0005,CRS007,5,6,29,28,68,B,7
MRK048,STU0005,CRS008,8,10,24,34,76,B+,8
MRK049,STU0005,CRS009,5,7,28,43,83,A,9
MRK050,STU0005,CRS010,9,5,28,31,73,B+,8
MRK051,STU0006,CRS001,7,7,12,40,66,B,7
MRK052,STU0006,CRS002,6,5,10,41,62,B,7
MRK053,STU0006,CRS003,7,10,16,47,80,A,9
MRK054,STU0006,CRS004,7,10,13,26,56,C,6
MRK055,STU0006,CRS005,10,9,22,36,77,B+,8
MRK056,STU0006,CRS006,7,8,27,48,90,A+,10
MRK057,STU0006,CRS007,6,8,23,36,73,B+,8
MRK058,STU0006,CRS008,8,5,20,18,51,C,6
MRK059,STU0006,CRS009,7,4,20,27,58,C,6
MRK060,STU0006,CRS010,6,4,23,20,53,C,6
MRK061,STU0007,CRS001,10,10,26,50,96,A+,10
MRK062,STU0007,CRS002,7,7,27,36,77,B+,8
MRK063,STU0007,CRS003,9,8,11,46,74,B+,8
MRK064,STU0007,CRS004,5,9,13,35,62,B,7
MRK065,STU0007,CRS005,10,5,30,32,77,B+,8
MRK066,STU0007,CRS006,9,8,16,38,71,B+,8
MRK067,STU0007,CRS007,5,10,23,25,63,B,7
MRK068,STU0007,CRS008,9,9,14,33,65,B,7
MRK069,STU0007,CRS009,5,7,21,27,60,B,7
MRK070,STU0007,CRS010,9,9,21,45,84,A,9
MRK071,STU0008,CRS001,7,6,29,39,81,A,9
MRK072,STU0008,CRS002,9,6,11,37,63,B,7
MRK073,STU0008,CRS003,6,7,27,20,60,B,7
MRK074,STU0008,CRS004,5,8,18,39,70,B+,8
MRK075,STU0008,CRS005,5,6,16,20,47,D,5
MRK076,STU0008,CRS006,5,10,24,27,66,B,7
MRK077,STU0008,CRS007,5,8,15,44,72,B+,8
